Course,Course_link,Credential,Length,Area of Interest,IELTS,Duolingo Language Test,Pearson Test of English (PTE),Canadian Academic English Language Test (CAEL),Cambridge English Exams,TOEFL
Auto Body and Collision Damage Repair - Apprenticeship,https://www.algonquincollege.com/sat/program/auto-body-and-collision-damage-repair-apprenticeship/,Ontario College Certificate,Full-time\nOn Campus\n24 Weeks,Transportation,6,105,53,60,169,80
Automotive Service Technician (GM-ASEP) (Apprenticeship),https://www.algonquincollege.com/sat/program/automotive-service-technician-asep-gm/,College Certificate,Full-time\nOn Campus\n32 Weeks,Transportation,6,105,53,60,169,80
Bachelor of Building Science (Entry Level 03) (Honours) (Co-op),https://www.algonquincollege.com/acce/program/bachelor-of-building-science-3-year-bridging-program-co-op/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Building Science (Entry Level 05) (Honours) (Co-op),https://www.algonquincollege.com/acce/program/bachelor-of-building-science-2-year-bridging-program-co-op/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Business Administration (Trades Management) (Honours),https://www.algonquincollege.com/business/bachelor-of-business-administration-trades-management-pathways/,Honours Degree,Part-time\nOnline,Business,6.5,115,60,70,176,88
Bachelor of Business Administration (Trades Management) (Honours) – Pathway for Building Renovation Technology,https://www.algonquincollege.com/business/program/bachelor-of-business-administration-trades-management-honours-pathway-for-building-renovation-technology/,Honours Degree,Part-time\nOnline,Business,6.5,115,60,70,176,88
Bachelor of Business Administration (Trades Management) (Honours) – Pathway for Business – Trades,https://www.algonquincollege.com/business/program/bachelor-of-business-administration-trades-management-honours-pathway-for-business-trades/,Honours Degree,Part-time\nOnline,Business,6.5,115,60,70,176,88
Bachelor of Business Administration (Trades Management) (Honours) – Pathway for Electrician Certification of Qualification,https://www.algonquincollege.com/business/program/bachelor-of-business-administration-trades-management-honours-pathway-for-electrician/,Honours Degree,Part-time\nOnline,Business,6.5,115,60,70,176,88
Bachelor of Business Administration (Trades Management) (Honours) – Pathway for Motive Power Technician,https://www.algonquincollege.com/business/program/bachelor-of-business-administration-trades-management-honours-pathway-for-motive-power-technician/,Honours Degree,Part-time\nOnline,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Marketing) (Honours)(Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-marketing-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Strategic Human Resources Management) (Honours)(Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-strategic-human-resources-management-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Administration - Supply Chain Management,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-administration-supply-chain-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Administration,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-administration/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Fundamentals,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-fundamentals/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Culinary Arts and Food Science (Honours) (Co-op),https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-culinary-arts-and-food-science/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Digital Marketing Communication (Honours) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communication (Honours) (Co-op) Pathway for Business Administration - Marketing and Business,https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication-honours-pathway-for-business-administration-marketing-and-business/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communication (Honours) (Co-op) Pathway for Public Relations,https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication-honours-pathway-for-public-relations/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Digital Marketing Communications (Honours)(Co-op)Pathway for Advertising and Marketing Communications Management,https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-digital-marketing-communication-honours-pathway-for-advertising-and-marketing-communications-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Media and Communications,6.5,115,60,70,176,88
Bachelor of Early Learning and Community Development (Entry Level 5) (Honours),https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development-entry-level/,Honours Degree,Full-time\nOn Campus\n4 Years,Community and Social Services,6.5,115,60,70,176,88
Bachelor of Early Learning and Community Development (Honours),https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-early-learning-and-community-development/,Honours Degree,Full-time\nOn Campus\n4 Years,Community and Social Services,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op),https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Electrical Engineering Technician,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-electrical-engineering-technician/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Electrical Engineering Technology,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-electrical-engineering-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Electro-Mechanical Engineering Technician,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-electro-mechanical-engineering-technician/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Engineering (Automation and Robotics)(Co-op) Pathway for Mechanical Engineering Technology,https://www.algonquincollege.com/sat/program/bachelor-of-automation-and-robotics-pathway-for-mechanical-engineering-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
"Bachelor of Event, Sport, and Entertainment Management (Honours)(Co-op)",https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-event-sport-and-entertainment-management/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op),https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op) Pathway for Business,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-business/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op) Pathway for Culinary Management,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-culinary-management/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op) Pathway for Hospitality - Hotel and Restaurant Operations Management,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-hospitality/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Hospitality and Tourism Management (Honours) (Co-op)Pathway for Tourism-Travel Services,https://www.algonquincollege.com/hospitalityandtourism/program/bachelor-of-hospitality-and-tourism-management-honours-pathway-for-tourism-travel-services/,Honours Degree,Full-time\nOn Campus\n4 Years,"Culinary, Hospitality and Recreation",6.5,115,60,70,176,88
Bachelor of Information Technology (Information Resource Management) (Co-op),https://www.algonquincollege.com/healthandcommunity/program/bit-information-resource-management/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Information Technology (Interactive Media Design) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bit-interactive-multimedia-and-design/,Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Bachelor of Information Technology (Network Technology) (Co-op),https://www.algonquincollege.com/sat/program/bit-network-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Information Technology (Optical Systems and Sensors) (Co-op),https://www.algonquincollege.com/sat/program/bit-photonics-and-laser-technology/,Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Interior Design (Entry Level 06) (Honours) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design-entry-level/,Honours Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Bachelor of Interior Design (Honours) (Co-op),https://www.algonquincollege.com/mediaanddesign/program/bachelor-of-interior-design/,Honours Degree,Full-time\nOn Campus\n4 Years,Arts and Design,6.5,115,60,70,176,88
Bachelor of Public Safety (Honours) (Co-op),https://www.algonquincollege.com/ppsi/program/bachelor-public-safety-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Public Safety and Legal Studies,6.5,115,60,70,176,88
Bachelor of Public Safety (Honours) (Co-op) Pathway for Police Foundations,https://www.algonquincollege.com/ppsi/program/bachelor-of-public-safety-pathway-for-police-foundations/,Honours Degree,Full-time\nOn Campus\n4 Years,Public Safety and Legal Studies,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op),https://www.algonquincollege.com/acce/program/bachelor-of-building-science/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op) Pathway for Architectural Technician,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-architectural-technician/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op) Pathway for Construction and Civil Engineering,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-construction-and-civil-engineering/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science) (Honours) (Co-op) Pathway for Mechanical Engineering,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-mechanical-engineering/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science (Building Science)(Honours)(Co-op) Pathway for Architectural Technology,https://www.algonquincollege.com/acce/program/bachelor-of-building-science-pathway-for-architectural-technology/,Honours Degree,Full-time\nOn Campus\n4 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Bachelor of Science in Nursing,https://www.algonquincollege.com/healthandcommunity/program/bachelor-of-science-in-nursing/,Degree,Full-time\nOn Campus\n4 Years,Health Sciences,6.5,115,60,70,176,88
Bachelor of Science in Nursing,https://www.algonquincollege.com/pembroke/program/bachelor-of-science-in-nursing/,Degree,Full-time\nOn Campus\n4 Years,Health Sciences,6.5,115,60,70,176,88
Bachelor of Technology (Business Systems Development) (Honours)(Co-op) - Pathway from Computer Programming and Computer Engineering Technology – Computing Science,https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development-honours-pathway-computer-programming-and-computer-engineering-technology-computing-science/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Technology (Business Systems Development) (Honours)(Co-op),https://www.algonquincollege.com/sat/program/bachelor-of-technology-in-business-systems-development/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Technology (Digital Health) (Honours) (Co-op),https://www.algonquincollege.com/sat/program/bachelor-of-technology-digital-health/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Technology (Digital Health) (Honours) (Co-op) Pathway for Computer Programming and Computer Engineering Technology - Computing Science,https://www.algonquincollege.com/sat/program/bachelor-of-technology-digital-health-pathway-for-computer-programming-and-computer-engineering-technology-computing-science/,Honours Degree,Full-time\nOn Campus\n4 Years,Advanced Technology,6.5,115,60,70,176,88
Baking and Pastry Arts,https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Baking and Pastry Arts Management,https://www.algonquincollege.com/hospitalityandtourism/program/baking-and-pastry-arts-management/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Bartending,https://www.algonquincollege.com/hospitalityandtourism/program/bartending/,Ontario College Certificate,Full-time\nOn Campus\n14 Weeks,"Culinary, Hospitality and Recreation",6,105,53,60,169,80
Biotechnology - Advanced (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/biotechnology-advanced/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Environmental and Applied Sciences,6,105,53,60,169,80
Bookkeeping and Accounting Practices,https://www.algonquincollege.com/business/program/bookkeeping-and-accounting-practices/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Business,6,105,53,60,169,80
Bookkeeping,https://www.algonquincollege.com/online/program-info/bookkeeping-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Brand Management (Two-Year),https://www.algonquincollege.com/mediaanddesign/program/brand-management-2-years/,Ontario College Graduate Certificate,Full-time\nOn Campus\n2 Years,Media and Communications,6.5,115,60,70,176,88
Broadcasting - Radio and Podcasting,https://www.algonquincollege.com/mediaanddesign/program/broadcasting-radio/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Media and Communications,6,105,53,60,169,80
Broadcasting - Television and Streaming Video,https://www.algonquincollege.com/mediaanddesign/program/broadcasting-television/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Media and Communications,6,105,53,60,169,80
Building Automation System Operations,https://www.algonquincollege.com/acce/program/building-automation-system-operations/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Construction and Skilled Trades,6.5,115,60,70,176,88
Building Construction Technician,https://www.algonquincollege.com/acce/program/building-construction-technician/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Construction and Skilled Trades,6,105,53,60,169,80
Building Environmental Systems Operator Class II,https://www.algonquincollege.com/acce/program/building-environmental-systems-operator-class-ii-part-time/,College Certificate,Part-time\nOn Campus,Construction and Skilled Trades,6,105,53,60,169,80
Building Information Modeling - Lifecycle Management Canadian Context,https://www.algonquincollege.com/acce/program/building-information-modeling-lifecycle-management-canadian-context/,Ontario College Graduate Certificate,Full-time\nOn Campus\n2 Years,Construction and Skilled Trades,6.5,115,60,70,176,88
Building Information Modeling - Lifecycle Management,https://www.algonquincollege.com/acce/program/building-information-modeling-lifecycle-management/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Construction and Skilled Trades,6.5,115,60,70,176,88
Building Information Modeling - Lifecycle Management,https://www.algonquincollege.com/online/program-info/building-information-modeling-lifecycle-management/,Ontario College Graduate Certificate,Full-time\nOnline,Construction and Skilled Trades,6.5,115,60,70,176,88
Building Information Modeling - Lifecycle Management,https://www.algonquincollege.com/online/program-info/building-information-modeling-lifecycle-management-part-time/,Ontario College Graduate Certificate,Part-time\nOnline,Construction and Skilled Trades,6.5,115,60,70,176,88
Business (Co-op and Non Co-op Version),https://www.algonquincollege.com/pembroke/program/business/,Ontario College Diploma,Full-time\nOn Campus\n42 Weeks,Business,6,105,53,60,169,80
Business - Accounting,https://www.algonquincollege.com/international/program/business-accounting-north-york/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Accounting,https://www.algonquincollege.com/business/program/business-accounting/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Accounting,https://www.algonquincollege.com/online/program-info/business-accounting/,Ontario College Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business - Accounting,https://www.algonquincollege.com/online/program-info/business-accounting-part-time/,Ontario College Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business - Agriculture (Co-op and Non Co-op Version),https://www.algonquincollege.com/perth/program/business-agriculture/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Management and Entrepreneurship (Co-op and Non Co-op Version),https://www.algonquincollege.com/business/program/management-and-entrepreneurship/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Management and Entrepreneurship,https://www.algonquincollege.com/international/program/business-management-and-entrepreneurship/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Management and Entrepreneurship,https://www.algonquincollege.com/international/program/business-management-and-entrepreneurship-north-york/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Marketing (Co-op and Non Co-op Version),https://www.algonquincollege.com/business/program/business-marketing,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business - Marketing (Year 1),https://www.algonquincollege.com/online/program-info/business-marketing-year-1/,Ontario College Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business - Marketing (Year 1),https://www.algonquincollege.com/online/program-info/business-marketing-year-1-part-time/,Ontario College Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business - Trades,https://www.algonquincollege.com/online/program-info/business-trades-part-time/,Ontario College Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business Administration (Core),https://www.algonquincollege.com/business/program/business-administration/,Ontario College Advanced Diploma,Full-time\nOn Campus\n3 Years,Business,6,105,53,60,169,80
Business Administration (Core),https://www.algonquincollege.com/online/program-info/business-administration/,#ontario College Advanced Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business Administration (Core),https://www.algonquincollege.com/online/program-info/business-administration-part-time/,Ontario College Advanced Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business Administration - Accounting,https://www.algonquincollege.com/online/program-info/business-administration-accounting/,Ontario College Advanced Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business Administration - Accounting,https://www.algonquincollege.com/online/program-info/business-administration-accounting-part-time/,Ontario College Advanced Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business Administration - General Business,https://www.algonquincollege.com/online/program-info/business-administration-general/,Ontario College Advanced Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business Administration - General Business,https://www.algonquincollege.com/online/program-info/business-administration-general-part-time/,Ontario College Advanced Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business Administration - Human Resources,https://www.algonquincollege.com/online/program-info/business-administration-human-resources/,Ontario College Advanced Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business Administration - Human Resources,https://www.algonquincollege.com/online/program-info/business-administration-human-resources-part-time/,Ontario College Advanced Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business Analysis Studies,https://www.algonquincollege.com/online/program-info/business-analysis-studies-part-time/,College-approved Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Business Development and Sales,https://www.algonquincollege.com/business/program/business-development-and-sales/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 year,Business,6.5,115,60,70,176,88
Business,https://www.algonquincollege.com/business/program/business/,Ontario College Diploma,Full-time\nOn Campus\n2 Years,Business,6,105,53,60,169,80
Business,https://www.algonquincollege.com/online/program-info/business/,Ontario College Diploma,Full-time\nOnline,Business,6,105,53,60,169,80
Business,https://www.algonquincollege.com/online/program-info/business-part-time/,Ontario College Diploma,Part-time\nOnline,Business,6,105,53,60,169,80
Business Fundamentals,https://www.algonquincollege.com/pembroke/program/business-fundamentals/,Ontario College Certificate,Full-time\nOn Campus\n1 Year,Business,6,105,53,60,169,80
Business Fundamentals,https://www.algonquincollege.com/business/program/business-fundamentals,Ontario College Certificate,Full-time\nOn Campus\n28 Weeks,Business,6,105,53,60,169,80
Business Fundamentals,https://www.algonquincollege.com/online/program-info/business-fundamentals/,Ontario College Certificate,Full-time\nOnline,Business,6,105,53,60,169,80
Business Fundamentals,https://www.algonquincollege.com/online/program-info/business-fundamentals-part-time/,Ontario College Certificate,Part-time\nOnline,Business,6,105,53,60,169,80
Business Intelligence Systems Infrastructure (Co-op and Non Co-op Version),https://www.algonquincollege.com/sat/program/business-intelligence-system-infrastructure/,Ontario College Graduate Certificate,Full-time\nOn Campus\n1 Year,Advanced Technology,6.5,115,60,70,176,88
Bachelor of Commerce (Marketing) (Honours)(Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-marketing-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Strategic Human Resources Management) (Honours)(Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-strategic-human-resources-management-honours/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op),https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Administration - Supply Chain Management,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-administration-supply-chain-management/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
Bachelor of Commerce (Supply Chain Management) (Honours) (Co-op) Pathway for Business Administration,https://www.algonquincollege.com/business/program/bachelor-of-commerce-supply-chain-management-honours-pathway-for-business-administration/,Honours Degree,Full-time\nOn Campus\n4 Years,Business,6.5,115,60,70,176,88
